SiteID,country,city,location,latitude,longitude,population,institution,website
site123,Sweden,Stockholm (2),Henriksdal 1 and Sicklainloppet,59.329323,18.068581,848000,,
site124,Sweden,Söderhamn,Granskär ARV,61.30373,17.05921,14500,,
site125,Sweden,Umea,Ons avloppsreningsverk,63.8181992,20.315001,115800,"Department of Chemistry, Umea University",http://www.chemistry.umu.se/english/
site126,Sweden,Uppsala,Site 1,59.858562,17.638927,200000,,
site127,Slovenia,Domžale-Kamnik,Domžale-Kamnik,46.13788,14.59384,77981,Jožef Stefan Institute,https://www.ijs.si/ijsw/V001/JSI
site128,Slovenia,Koper,Central wastewater treatment plant Koper,45.548058,13.730188,49843,Jožef Stefan Institute,https://www.ijs.si/ijsw/V001/JSI
site129,Slovenia,Ljubljana,Central wastewater treatment plant Ljubljana,46.056947,14.505751,270305,Jožef Stefan Institute,https://www.ijs.si/ijsw/V001/JSI
site130,Slovenia,Maribor,Maribor,46.55734,15.64591,129000,Jožef Stefan Institute,https://www.ijs.si/ijsw/V001/JSI
site131,Slovenia,Novo mesto,Wastewater treatment plant Novo mesto,45.804211,15.16969,25414,Jožef Stefan Institute,https://www.ijs.si/ijsw/V001/JSI
site132,Slovenia,Velenje,Central wastewater treatment plant Šaleške Doline (Šalek Valley),46.362274,15.110658,35280,Jožef Stefan Institute,https://www.ijs.si/ijsw/V001/JSI
site133,Slovakia,Bratislava (2),Bratislava 2 plants,48.14925,17.106991,600000,"Department of Environmental Engineering, Slovak University of Technology Bratislava",https://www.stuba.sk/english.html?page_id=132
site134,Slovakia,Piestany,,48.5918007,17.801901,30000,"Department of Environmental Engineering, Slovak University of Technology Bratislava",https://www.stuba.sk/english.html?page_id=132
site135,Turkey,Adana,Seyhan,36.991421,35.33083,1159215,,
site136,Turkey,Istanbul I,Catalca-Ahmediye,41.013,28.9748,69000,"Forensic Toxicology Labs. Institute of Forensic Sciences and Legal Medicine, Istanbul University-Cerrahpasa",https://adlitip.istanbulc.edu.tr/tr/_
site137,Turkey,Istanbul (II-VII),Istanbul (II-VII),41.013,28.9748,16525000,"Forensic Toxicology Labs. Institute of Forensic Sciences and Legal Medicine, Istanbul University-Cerrahpasa",https://adlitip.istanbulc.edu.tr/tr/_
